id,GEOGRAFICO
10,Temple
10,School
10,Sports Hub 
11,School
11,Sports Hub 
29,School
29,School
29,Cemetery
29,Cemetery
29,Temple
29,School
29,Medical Assistance Center
29,Temple
29,School
29,School
29,Temple
29,Temple
29,Temple
29,Temple
29,Temple
29,Temple
29,Sports Hub 
29,Sports Hub 
29,Sports Hub 
29,Sports Hub 
29,Sports Hub 
29,School
29,Sports Hub 
29,Sports Hub 
29,Sports Hub 
30,Temple
30,Temple
30,School
30,School
30,School
30,School
30,Temple
30,Temple
30,Temple
30,School
30,School
30,School
30,Medical Assistance Center
30,School
30,Temple
30,Temple
30,Temple
30,Temple
30,School
30,School
30,School
30,Temple
30,School
30,Sports Hub 
30,Sports Hub 
30,Square
30,School
30,Sports Hub 
30,Sports Hub 
31,Temple
31,School
31,School
31,Sports Hub 
46,School
46,School
46,Sports Hub 
46,Sports Hub 
47,School
47,School
47,Sports Hub 
47,School
48,School
48,School
48,School
48,School
48,School
48,School
48,Temple
48,School
48,School
48,Temple
48,Medical Assistance Center
48,Temple
48,Temple
48,School
48,Medical Assistance Center
48,School
48,School
48,School
48,School
48,School
48,School
48,School
48,Government Facility
48,School
48,School
48,Medical Assistance Center
48,Temple
48,Temple
48,School
48,Medical Assistance Center
48,School
48,School
48,School
48,School
48,School
48,School
48,Temple
48,School
48,Temple
48,Temple
48,Temple
48,School
48,Mall
48,School
48,School
48,Temple
48,School
48,School
48,Temple
48,Temple
48,Sports Hub 
49,School
49,School
49,Temple
49,Temple
49,School
49,School
49,Medical Assistance Center
49,School
49,School
49,Temple
49,Medical Assistance Center
49,Temple
49,School
49,Temple
49,Temple
49,School
49,Temple
49,School
49,Temple
49,School
49,School
49,Government Facility
49,School
49,Temple
49,School
49,Square
49,School
49,Square
49,Temple
49,Government Facility
49,Temple
49,School
49,School
49,School
49,Medical Assistance Center
49,School
49,Temple
49,Temple
49,Sports Hub 
49,Sports Hub 
49,Sports Hub 
50,Temple
50,Temple
50,School
50,Temple
50,Medical Assistance Center
50,Temple
50,School
50,Temple
50,Temple
50,Sports Hub 
50,Sports Hub 
50,Sports Hub 
65,Temple
65,School
65,School
65,Temple
65,School
65,School
65,School
65,Temple
65,Temple
65,School
65,School
65,School
65,School
65,School
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,School
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,School
65,School
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,School
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
65,Sports Hub 
66,School
66,School
66,School
66,School
66,School
66,Temple
66,Temple
66,Temple
66,Mall
66,School
66,School
66,School
66,School
66,School
66,School
66,School
66,Square
66,School
66,School
66,School
66,Temple
66,School
66,School
66,Square
66,School
66,School
66,Mall
66,School
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,School
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
66,Sports Hub 
67,Medical Assistance Center
67,Medical Assistance Center
67,School
67,School
67,School
67,School
67,School
67,Temple
67,Temple
67,School
67,School
67,School
67,Temple
